image_name,width,height,image_area,cls_id,xmin,xmax,ymin,ymax,object_area
20210517161332410_0,1920,1080,2073600,2,1130.0,1190.0,458.0,520.0,3720.0
20210517161332410_0,1920,1080,2073600,2,1184.0,1229.0,402.0,458.0,2520.0
20210517161332410_0,1920,1080,2073600,2,1168.0,1291.0,370.0,407.0,4551.0
20210517161332410_0,1920,1080,2073600,5,1262.0,1426.0,378.0,505.0,20828.0
20210517163420240_0,2560,1440,3686400,1,1158.0,1269.0,881.0,979.0,10878.0
20210517163420240_0,2560,1440,3686400,1,1251.0,1376.0,881.0,992.0,13875.0
20210517163420240_0,2560,1440,3686400,1,1829.0,1945.0,994.0,1155.0,18676.0
20210517164626201_0,2560,1440,3686400,1,1158.0,1271.0,880.0,979.0,11187.0
20210517164626201_0,2560,1440,3686400,1,1249.0,1373.0,883.0,989.0,13144.0
20210517164626201_0,2560,1440,3686400,1,1818.0,1955.0,992.0,1152.0,21920.0
20210518091112136_0,2560,1440,3686400,1,1826.0,1951.0,993.0,1159.0,20750.0
20210518095928110_0,2560,1440,3686400,1,1822.0,1955.0,977.0,1170.0,25669.0
20210518172315635_0,2560,1440,3686400,3,1826.0,1957.0,991.0,1174.0,23973.0
20210518172315635_0,2560,1440,3686400,3,918.0,969.0,890.0,928.0,1938.0
20210519174301150_0,2560,1440,3686400,3,1803.0,1918.0,1254.0,1332.0,8970.0
20210519174301150_0,2560,1440,3686400,2,417.0,527.0,682.0,827.0,15950.0
20210519174301150_0,2560,1440,3686400,2,508.0,631.0,672.0,797.0,15375.0
20210520080833465_0,1920,1080,2073600,3,356.0,377.0,251.0,279.0,588.0
20210520080833465_0,1920,1080,2073600,2,1599.0,1808.0,366.0,556.0,39710.0
20210520080833465_0,1920,1080,2073600,2,1545.0,1605.0,367.0,441.0,4440.0
20210520163008237_0,1920,1080,2073600,3,1066.0,1110.0,441.0,470.0,1276.0
20210520163008237_0,1920,1080,2073600,4,1119.0,1253.0,427.0,489.0,8308.0
20210520163008237_0,1920,1080,2073600,4,1222.0,1357.0,402.0,464.0,8370.0
20210520163008237_0,1920,1080,2073600,2,1339.0,1415.0,416.0,466.0,3800.0
20210520163008237_0,1920,1080,2073600,0,1165.0,1177.0,235.0,243.0,96.0
20210520163008237_0,1920,1080,2073600,6,1435.0,1916.0,710.0,836.0,60606.0
20210520163008237_0,1920,1080,2073600,5,1668.0,1800.0,631.0,728.0,12804.0
20210520163008237_0,1920,1080,2073600,0,1617.0,1635.0,617.0,631.0,252.0
20210520163008237_0,1920,1080,2073600,6,1463.0,1736.0,842.0,906.0,17472.0
20210521105903885_0,1920,1080,2073600,2,1438.0,1612.0,697.0,853.0,27144.0
20210521135825226_0,2560,1440,3686400,1,1929.0,2066.0,1154.0,1258.0,14248.0
20210521135825226_0,2560,1440,3686400,2,1090.0,1442.0,877.0,1125.0,87296.0
20210521135825226_0,2560,1440,3686400,2,896.0,1412.0,966.0,1284.0,164088.0
20210521135825226_0,2560,1440,3686400,3,764.0,1110.0,1021.0,1231.0,72660.0
20210521135825226_0,2560,1440,3686400,0,673.0,725.0,1155.0,1197.0,2184.0
20210521192152874_0,2560,1440,3686400,0,1918.0,2054.0,1118.0,1265.0,19992.0
20210521192152874_0,2560,1440,3686400,3,755.0,880.0,880.0,949.0,8625.0
20210521192152874_0,2560,1440,3686400,0,766.0,820.0,1268.0,1312.0,2376.0
20210521192152874_0,2560,1440,3686400,0,978.0,1007.0,1247.0,1276.0,841.0
20210521192152874_0,2560,1440,3686400,2,865.0,1397.0,967.0,1280.0,166516.0
20210521192152874_0,2560,1440,3686400,2,1095.0,1481.0,868.0,1128.0,100360.0
20210523110026261_0,2560,1440,3686400,3,1474.0,1552.0,491.0,578.0,6786.0
20210523110026261_0,2560,1440,3686400,3,1431.0,1510.0,391.0,461.0,5530.0
20210523110026261_0,2560,1440,3686400,7,1517.0,1601.0,395.0,450.0,4620.0
20210523125844943_0,1920,1080,2073600,3,1269.0,1292.0,580.0,607.0,621.0
20210523125844943_0,1920,1080,2073600,5,1695.0,1803.0,636.0,716.0,8640.0
20210523125844943_0,1920,1080,2073600,6,1496.0,1920.0,710.0,838.0,54272.0
20210523125844943_0,1920,1080,2073600,6,1531.0,1738.0,821.0,896.0,15525.0
20210523172401810_0,2560,1440,3686400,3,1936.0,2072.0,627.0,729.0,13872.0
20210523172401810_0,2560,1440,3686400,3,1497.0,1565.0,800.0,892.0,6256.0
20210523172401810_0,2560,1440,3686400,1,1385.0,1460.0,440.0,525.0,6375.0
20210523172401810_0,2560,1440,3686400,3,1165.0,1229.0,526.0,600.0,4736.0
20210523172401810_0,2560,1440,3686400,3,1469.0,1532.0,573.0,625.0,3276.0
20210523172401810_0,2560,1440,3686400,1,1011.0,1230.0,568.0,723.0,33945.0
20210523172401810_0,2560,1440,3686400,7,1045.0,1150.0,714.0,781.0,7035.0
20210523172401810_0,2560,1440,3686400,3,1484.0,1577.0,346.0,415.0,6417.0
20210523172401810_0,2560,1440,3686400,3,2106.0,2153.0,455.0,493.0,1786.0
20210523172401810_0,2560,1440,3686400,3,2276.0,2321.0,560.0,603.0,1935.0
20210523172401810_0,2560,1440,3686400,0,1861.0,1954.0,651.0,711.0,5580.0
20210524094804187_0,2560,1440,3686400,1,1927.0,2058.0,1144.0,1268.0,16244.0
20210524102513830_0,960,576,552960,3,50.0,198.0,426.0,476.0,7400.0
20210524102513830_0,960,576,552960,3,195.0,277.0,439.0,464.0,2050.0
20210524102513830_0,960,576,552960,3,0.0,54.0,448.0,472.0,1296.0
20210524102513830_0,960,576,552960,3,385.0,415.0,227.0,239.0,360.0
20210524142259894_0,2560,1440,3686400,1,1933.0,2060.0,1141.0,1266.0,15875.0
20210524143417896_0,2560,1440,3686400,3,1862.0,1964.0,1208.0,1268.0,6120.0
20210524161026156_0,1280,960,1228800,1,120.0,142.0,606.0,627.0,462.0
20210524161026156_0,1280,960,1228800,0,1186.0,1201.0,827.0,839.0,180.0
20210525074726729_0,1280,720,921600,2,0.0,83.0,467.0,676.0,17347.0
20210525111326136_0,1280,960,1228800,2,82.0,137.0,552.0,624.0,3960.0
20210525113730844_0,960,576,552960,0,593.0,636.0,525.0,539.0,602.0
20210525190013354_0,2560,1440,3686400,2,1577.0,1809.0,388.0,604.0,50112.0
20210525190013354_0,2560,1440,3686400,1,1156.0,1216.0,590.0,647.0,3420.0
20210525190013354_0,2560,1440,3686400,3,1452.0,1500.0,588.0,640.0,2496.0
20210526082515798_0,1920,1080,2073600,3,296.0,337.0,942.0,986.0,1804.0
20210526120402634_0,960,576,552960,0,392.0,404.0,447.0,458.0,132.0
20210527082326218_0,960,576,552960,3,0.0,273.0,424.0,478.0,14742.0
20210527082326218_0,960,576,552960,3,344.0,378.0,459.0,482.0,782.0
20210527094646312_0,2560,1440,3686400,1,2042.0,2164.0,710.0,854.0,17568.0
20210528091113827_0,2560,1440,3686400,3,1898.0,1970.0,1158.0,1234.0,5472.0
20210528091113827_0,2560,1440,3686400,2,205.0,348.0,662.0,789.0,18161.0
20210528091113827_0,2560,1440,3686400,2,320.0,470.0,768.0,875.0,16050.0
20210528091113827_0,2560,1440,3686400,9,290.0,382.0,847.0,906.0,5428.0
20210528133510276_0,1920,1080,2073600,7,913.0,975.0,574.0,665.0,5642.0
20210528150019561_0,960,576,552960,3,1.0,274.0,416.0,475.0,16107.0
20210528150019561_0,960,576,552960,3,342.0,386.0,458.0,493.0,1540.0
20210528183214706_0,1920,1080,2073600,3,227.0,323.0,501.0,560.0,5664.0
20210529080814249_0,1920,1080,2073600,3,612.0,723.0,678.0,766.0,9768.0
20210529080814249_0,1920,1080,2073600,7,855.0,901.0,957.0,983.0,1196.0
20210529101522638_0,2688,1520,4085760,3,1986.0,2074.0,1043.0,1102.0,5192.0
20210529151303147_0,2688,1520,4085760,9,463.0,727.0,1011.0,1086.0,19800.0
20210529151303147_0,2688,1520,4085760,2,366.0,560.0,1035.0,1109.0,14356.0
20210529151303147_0,2688,1520,4085760,2,672.0,835.0,865.0,1000.0,22005.0
20210529151303147_0,2688,1520,4085760,6,784.0,1140.0,963.0,1076.0,40228.0
20210529192147966_0,2560,1440,3686400,1,1441.0,1544.0,986.0,1096.0,11330.0
20210529192147966_0,2560,1440,3686400,1,1468.0,1605.0,1015.0,1141.0,17262.0
20210530092909227_0,960,576,552960,1,454.0,488.0,330.0,360.0,1020.0
20210530092909227_0,960,576,552960,4,428.0,477.0,348.0,385.0,1813.0
20210530092916392_0,960,576,552960,3,456.0,488.0,327.0,360.0,1056.0
20210530092916392_0,960,576,552960,4,425.0,476.0,343.0,382.0,1989.0
20210530092924263_0,1280,720,921600,2,1.0,46.0,463.0,592.0,5805.0
20210530102103612_0,1920,1080,2073600,1,1222.0,1261.0,619.0,644.0,975.0
20210530104727660_0,2560,1440,3686400,3,1768.0,1833.0,1004.0,1144.0,9100.0
20210530104727660_0,2560,1440,3686400,3,1825.0,1943.0,1077.0,1149.0,8496.0
20210530104727660_0,2560,1440,3686400,1,1244.0,1302.0,788.0,864.0,4408.0
20210530104727660_0,2560,1440,3686400,1,609.0,748.0,965.0,1057.0,12788.0
20210530104727660_0,2560,1440,3686400,0,1040.0,1068.0,960.0,978.0,504.0
20210530104727660_0,2560,1440,3686400,0,1005.0,1031.0,1017.0,1033.0,416.0
20210530104727660_0,2560,1440,3686400,0,1031.0,1057.0,1047.0,1068.0,546.0
20210530132712090_0,960,576,552960,0,377.0,401.0,462.0,473.0,264.0
20210530135927006_0,1280,720,921600,4,216.0,300.0,541.0,616.0,6300.0
20210530192302461_0,2560,1440,3686400,1,638.0,805.0,862.0,971.0,18203.0
20210530192302461_0,2560,1440,3686400,1,762.0,896.0,886.0,972.0,11524.0
20210531091655266_0,960,576,552960,0,295.0,339.0,355.0,368.0,572.0
20210531091655266_0,960,576,552960,0,194.0,208.0,454.0,461.0,98.0
20210531091655266_0,960,576,552960,0,367.0,391.0,430.0,439.0,216.0
20210531094554051_0,960,576,552960,0,298.0,341.0,353.0,371.0,774.0
20210531094554051_0,960,576,552960,0,494.0,511.0,495.0,506.0,187.0
20210531094554051_0,960,576,552960,0,368.0,390.0,427.0,442.0,330.0
20210531130735705_0,1280,960,1228800,2,113.0,165.0,573.0,628.0,2860.0
20210531130735705_0,1280,960,1228800,0,848.0,857.0,781.0,789.0,72.0
20210531130735705_0,1280,960,1228800,0,1030.0,1036.0,846.0,853.0,42.0
20210601103049081_0,2560,1440,3686400,2,224.0,449.0,802.0,915.0,25425.0
20210601162228655_0,2560,1440,3686400,2,205.0,447.0,814.0,919.0,25410.0
20210602093554548_0,2560,1440,3686400,2,1459.0,1691.0,195.0,495.0,69600.0
20210602093554548_0,2560,1440,3686400,2,1601.0,1728.0,356.0,503.0,18669.0
20210602120009216_0,2560,1440,3686400,2,1634.0,1802.0,485.0,584.0,16632.0
20210602120009216_0,2560,1440,3686400,2,1684.0,1853.0,558.0,682.0,20956.0
20210602120009216_0,2560,1440,3686400,2,1531.0,1665.0,316.0,453.0,18358.0
20210602120009216_0,2560,1440,3686400,3,1672.0,1750.0,370.0,415.0,3510.0
20210602120009216_0,2560,1440,3686400,3,1661.0,1752.0,397.0,468.0,6461.0
20210602120009216_0,2560,1440,3686400,3,1566.0,1698.0,516.0,616.0,13200.0
20210602120009216_0,2560,1440,3686400,3,1442.0,1541.0,572.0,643.0,7029.0
20210602120009216_0,2560,1440,3686400,3,1528.0,1576.0,530.0,597.0,3216.0
20210602120009216_0,2560,1440,3686400,3,1534.0,1572.0,404.0,455.0,1938.0
20210602120009216_0,2560,1440,3686400,3,1547.0,1595.0,465.0,527.0,2976.0
20210602120009216_0,2560,1440,3686400,3,1357.0,1416.0,512.0,578.0,3894.0
20210602120009216_0,2560,1440,3686400,3,1341.0,1402.0,439.0,517.0,4758.0
20210602120009216_0,2560,1440,3686400,3,1419.0,1489.0,458.0,501.0,3010.0
20210602120009216_0,2560,1440,3686400,3,1422.0,1492.0,394.0,443.0,3430.0
20210602120009216_0,2560,1440,3686400,3,1234.0,1286.0,530.0,580.0,2600.0
20210602120009216_0,2560,1440,3686400,3,1290.0,1347.0,511.0,560.0,2793.0
20210602120009216_0,2560,1440,3686400,3,1370.0,1437.0,549.0,617.0,4556.0
20210602120009216_0,2560,1440,3686400,3,1256.0,1319.0,501.0,533.0,2016.0
20210602120009216_0,2560,1440,3686400,0,1716.0,1758.0,630.0,677.0,1974.0
20210602120009216_0,2560,1440,3686400,0,1618.0,1653.0,634.0,677.0,1505.0
20210602131125612_0,1920,1080,2073600,2,1665.0,1780.0,551.0,664.0,12995.0
20210602131125612_0,1920,1080,2073600,0,1532.0,1555.0,642.0,654.0,276.0
20210602131125612_0,1920,1080,2073600,0,1648.0,1664.0,658.0,672.0,224.0
20210603084817412_0,2560,1440,3686400,2,81.0,247.0,591.0,803.0,35192.0
20210603084817412_0,2560,1440,3686400,2,0.0,90.0,645.0,801.0,14040.0
20210604132543910_0,1920,1080,2073600,2,325.0,452.0,507.0,676.0,21463.0
20210604132543910_0,1920,1080,2073600,2,429.0,584.0,570.0,642.0,11160.0
20210604172722963_0,1280,720,921600,1,155.0,371.0,580.0,720,30672.0
20210604172722963_0,1280,720,921600,4,0.0,155.0,646.0,719.0,11315.0
20210605092333334_0,2560,1440,3686400,1,2147.0,2190.0,256.0,299.0,1849.0
20210605174605112_0,2560,1440,3686400,2,1491.0,1661.0,340.0,499.0,27030.0
20210606083607007_0,2560,1440,3686400,0,266.0,318.0,786.0,809.0,1196.0
20210606094727594_0,1920,1080,2073600,1,1696.0,1776.0,623.0,699.0,6080.0
20210606094727594_0,1920,1080,2073600,4,1825.0,1910.0,506.0,577.0,6035.0
20210606094727594_0,1920,1080,2073600,4,1827.0,1877.0,568.0,615.0,2350.0
20210606114536455_0,1920,1080,2073600,1,913.0,936.0,23.0,48.0,575.0
20210606114536455_0,1920,1080,2073600,2,572.0,629.0,169.0,254.0,4845.0
20210606114536455_0,1920,1080,2073600,2,563.0,612.0,219.0,281.0,3038.0
20210606152211232_0,2560,1440,3686400,1,1213.0,1292.0,924.0,998.0,5846.0
20210606152211232_0,2560,1440,3686400,1,1092.0,1214.0,923.0,1025.0,12444.0
20210606152211232_0,2560,1440,3686400,1,843.0,1011.0,1019.0,1132.0,18984.0
20210606152211232_0,2560,1440,3686400,1,1206.0,1310.0,1042.0,1190.0,15392.0
20210606152211232_0,2560,1440,3686400,1,623.0,690.0,973.0,1038.0,4355.0
20210606152211232_0,2560,1440,3686400,3,439.0,547.0,1253.0,1334.0,8748.0
20210606152211232_0,2560,1440,3686400,3,1244.0,1299.0,773.0,841.0,3740.0
20210606153338339_0,1920,1080,2073600,2,576.0,680.0,639.0,756.0,12168.0
20210606153338339_0,1920,1080,2073600,1,482.0,522.0,768.0,812.0,1760.0
20210606161017697_0,2560,1440,3686400,1,1213.0,1296.0,920.0,995.0,6225.0
20210606161017697_0,2560,1440,3686400,1,1090.0,1215.0,927.0,1026.0,12375.0
20210606161017697_0,2560,1440,3686400,1,1210.0,1311.0,1047.0,1192.0,14645.0
20210606161017697_0,2560,1440,3686400,1,958.0,1133.0,1035.0,1121.0,15050.0
20210606161017697_0,2560,1440,3686400,1,837.0,971.0,1014.0,1086.0,9648.0
20210606161017697_0,2560,1440,3686400,1,622.0,731.0,933.0,1044.0,12099.0
20210606161017697_0,2560,1440,3686400,3,449.0,557.0,1254.0,1332.0,8424.0
20210606161017697_0,2560,1440,3686400,1,823.0,905.0,898.0,958.0,4920.0
20210606161017697_0,2560,1440,3686400,3,1252.0,1296.0,775.0,837.0,2728.0
20210606161017697_0,2560,1440,3686400,0,280.0,320.0,777.0,808.0,1240.0
20210606161706474_0,2688,1520,4085760,0,1106.0,1133.0,1238.0,1257.0,513.0
20210606184634355_0,2560,1440,3686400,3,446.0,546.0,1258.0,1332.0,7400.0
20210606184634355_0,2560,1440,3686400,0,268.0,327.0,781.0,810.0,1711.0
20210606184634355_0,2560,1440,3686400,3,1242.0,1298.0,776.0,846.0,3920.0
20210606195832372_0,2560,1440,3686400,2,1743.0,1909.0,450.0,713.0,43658.0
20210606195832372_0,2560,1440,3686400,1,1468.0,1629.0,405.0,536.0,21091.0
20210606195841714_0,2560,1440,3686400,3,428.0,551.0,1215.0,1340.0,15375.0
20210606195841714_0,2560,1440,3686400,1,1115.0,1284.0,873.0,1012.0,23491.0
20210606195841714_0,2560,1440,3686400,3,1234.0,1293.0,776.0,843.0,3953.0
20210606195841714_0,2560,1440,3686400,1,921.0,1017.0,908.0,988.0,7680.0
20210607095019366_0,2560,1440,3686400,1,2423.0,2478.0,287.0,338.0,2805.0
20210607194055392_0,1920,1080,2073600,0,591.0,620.0,999.0,1016.0,493.0
20210608080638676_0,1920,1080,2073600,2,514.0,580.0,543.0,631.0,5808.0
20210608082043325_0,2688,1520,4085760,7,1195.0,1308.0,865.0,976.0,12543.0
20210608082043325_0,2688,1520,4085760,1,1479.0,1622.0,793.0,869.0,10868.0
20210608082043325_0,2688,1520,4085760,1,1353.0,1439.0,799.0,875.0,6536.0
20210608082043325_0,2688,1520,4085760,1,1256.0,1368.0,748.0,908.0,17920.0
20210608082043325_0,2688,1520,4085760,1,1197.0,1278.0,757.0,894.0,11097.0
20210608111114282_0,1920,1080,2073600,1,1071.0,1105.0,355.0,391.0,1224.0
20210608111114282_0,1920,1080,2073600,1,1099.0,1136.0,391.0,420.0,1073.0
20210608115012041_0,2560,1440,3686400,2,2239.0,2273.0,94.0,138.0,1496.0
20210608115012041_0,2560,1440,3686400,2,2270.0,2309.0,88.0,159.0,2769.0
20210608125354515_0,1920,1080,2073600,1,1508.0,1555.0,489.0,534.0,2115.0
20210608130713032_0,1920,1080,2073600,1,957.0,990.0,712.0,746.0,1122.0
20210608130713032_0,1920,1080,2073600,1,984.0,1007.0,723.0,743.0,460.0
20210608143534935_0,1920,1080,2073600,2,47.0,330.0,771.0,960.0,53487.0
20210608164642002_0,2560,1440,3686400,2,1860.0,2008.0,511.0,664.0,22644.0
20210608164642002_0,2560,1440,3686400,2,1746.0,1889.0,392.0,639.0,35321.0
20210608164642002_0,2560,1440,3686400,2,1681.0,1793.0,327.0,625.0,33376.0
20210608164642002_0,2560,1440,3686400,2,1546.0,1726.0,305.0,609.0,54720.0
20210608164642002_0,2560,1440,3686400,2,1574.0,1727.0,555.0,668.0,17289.0
20210608164642002_0,2560,1440,3686400,2,1488.0,1612.0,288.0,619.0,41044.0
20210608164642002_0,2560,1440,3686400,2,1382.0,1571.0,342.0,648.0,57834.0
20210608164642002_0,2560,1440,3686400,0,2431.0,2448.0,355.0,375.0,340.0
20210608183515411_0,1920,1080,2073600,5,1479.0,1539.0,648.0,705.0,3420.0
20210608183515411_0,1920,1080,2073600,5,1693.0,1804.0,633.0,726.0,10323.0
20210608183515411_0,1920,1080,2073600,6,1692.0,1784.0,705.0,796.0,8372.0
20210608183515411_0,1920,1080,2073600,2,1258.0,1303.0,240.0,288.0,2160.0
20210608183515411_0,1920,1080,2073600,2,1303.0,1332.0,210.0,255.0,1305.0
20210608185321687_0,1920,1080,2073600,2,494.0,686.0,940.0,1035.0,18240.0
20210608185321687_0,1920,1080,2073600,2,875.0,931.0,443.0,502.0,3304.0
20210608185321687_0,1920,1080,2073600,2,1027.0,1106.0,416.0,476.0,4740.0
20210608185321687_0,1920,1080,2073600,2,1214.0,1322.0,419.0,471.0,5616.0
20210608185321687_0,1920,1080,2073600,2,1268.0,1352.0,446.0,485.0,3276.0
20210608185321687_0,1920,1080,2073600,2,1316.0,1385.0,468.0,504.0,2484.0
20210608185321687_0,1920,1080,2073600,7,1362.0,1404.0,677.0,716.0,1638.0
20210608185321687_0,1920,1080,2073600,2,1260.0,1332.0,233.0,283.0,3600.0
20210608185321687_0,1920,1080,2073600,4,1241.0,1397.0,490.0,526.0,5616.0
20210608185321687_0,1920,1080,2073600,5,1694.0,1806.0,633.0,729.0,10752.0
20210608185321687_0,1920,1080,2073600,5,1480.0,1540.0,649.0,705.0,3360.0
20210608185321687_0,1920,1080,2073600,6,1680.0,1773.0,704.0,803.0,9207.0
20210609095753272_0,2560,1440,3686400,9,728.0,909.0,786.0,1008.0,40182.0
20210609095753272_0,2560,1440,3686400,1,1530.0,1627.0,354.0,450.0,9312.0
20210609095753272_0,2560,1440,3686400,1,1447.0,1566.0,377.0,506.0,15351.0
20210609095753272_0,2560,1440,3686400,1,1559.0,1697.0,416.0,526.0,15180.0
20210609102443259_0,1920,1080,2073600,1,1136.0,1187.0,633.0,727.0,4794.0
20210609105759390_0,2560,1440,3686400,1,1518.0,1631.0,361.0,451.0,10170.0
20210609105759390_0,2560,1440,3686400,1,1393.0,1556.0,401.0,520.0,19397.0
20210609113816887_0,1920,1080,2073600,2,306.0,374.0,350.0,427.0,5236.0
20210609113816887_0,1920,1080,2073600,2,253.0,328.0,373.0,439.0,4950.0
20210609113816887_0,1920,1080,2073600,2,337.0,404.0,389.0,493.0,6968.0
20210609113816887_0,1920,1080,2073600,2,535.0,577.0,246.0,324.0,3276.0
20210609113816887_0,1920,1080,2073600,1,526.0,556.0,278.0,313.0,1050.0
20210609122217882_0,2560,1440,3686400,1,1640.0,1684.0,461.0,525.0,2816.0
20210609122217882_0,2560,1440,3686400,1,1560.0,1629.0,472.0,528.0,3864.0
20210609122217882_0,2560,1440,3686400,1,1545.0,1656.0,413.0,510.0,10767.0
20210609122217882_0,2560,1440,3686400,1,1524.0,1624.0,365.0,443.0,7800.0
20210609122217882_0,2560,1440,3686400,1,1451.0,1558.0,419.0,521.0,10914.0
20210609122217882_0,2560,1440,3686400,1,1400.0,1526.0,420.0,491.0,8946.0
20210609123635706_0,2688,1520,4085760,4,1812.0,1887.0,609.0,705.0,7200.0
20210609132319771_0,1920,1080,2073600,4,1565.0,1673.0,578.0,637.0,6372.0
20210609134549108_0,1920,1080,2073600,0,963.0,983.0,206.0,215.0,180.0
20210609134549108_0,1920,1080,2073600,0,1051.0,1063.0,311.0,324.0,156.0
20210609134549108_0,1920,1080,2073600,0,991.0,1015.0,324.0,332.0,192.0
20210609134549108_0,1920,1080,2073600,0,941.0,951.0,281.0,287.0,60.0
20210609134549108_0,1920,1080,2073600,0,895.0,928.0,326.0,335.0,297.0
20210609134549108_0,1920,1080,2073600,0,959.0,968.0,352.0,360.0,72.0
20210609134549108_0,1920,1080,2073600,0,589.0,627.0,877.0,895.0,684.0
20210609134549108_0,1920,1080,2073600,0,564.0,579.0,895.0,906.0,165.0
20210609134549108_0,1920,1080,2073600,0,589.0,604.0,901.0,911.0,150.0
20210609134549108_0,1920,1080,2073600,0,522.0,539.0,901.0,912.0,187.0
20210609141028975_0,2560,1440,3686400,1,1375.0,1540.0,414.0,533.0,19635.0
20210609141028975_0,2560,1440,3686400,1,1517.0,1628.0,375.0,552.0,19647.0
20210609141028975_0,2560,1440,3686400,9,1022.0,1182.0,818.0,958.0,22400.0
20210609141028975_0,2560,1440,3686400,9,774.0,877.0,1006.0,1081.0,7725.0
20210609141028975_0,2560,1440,3686400,9,968.0,1059.0,1114.0,1152.0,3458.0
20210609143819045_0,1920,1080,2073600,1,1084.0,1179.0,458.0,522.0,6080.0
20210609145835933_0,2560,1440,3686400,1,1381.0,1502.0,419.0,519.0,12100.0
20210609145835933_0,2560,1440,3686400,1,1522.0,1606.0,375.0,453.0,6552.0
20210609145835933_0,2560,1440,3686400,1,1473.0,1561.0,445.0,522.0,6776.0
20210609152405210_0,2688,1520,4085760,3,19.0,104.0,1287.0,1371.0,7140.0
20210609160738852_0,1920,1080,2073600,2,434.0,522.0,750.0,843.0,8184.0
20210609161225209_0,1920,1080,2073600,7,1616.0,1681.0,576.0,640.0,4160.0
20210609161225209_0,1920,1080,2073600,3,1706.0,1796.0,611.0,684.0,6570.0
20210609161225209_0,1920,1080,2073600,0,1773.0,1824.0,679.0,703.0,1224.0
20210609173743943_0,1920,1080,2073600,1,1035.0,1082.0,874.0,919.0,2115.0
20210609175213849_0,2688,1520,4085760,3,749.0,834.0,587.0,644.0,4845.0
20210609175213849_0,2688,1520,4085760,1,1151.0,1348.0,422.0,631.0,41173.0
20210609175213849_0,2688,1520,4085760,1,1026.0,1179.0,458.0,626.0,25704.0
20210609175849246_0,1920,1080,2073600,1,1806.0,1845.0,798.0,833.0,1365.0
20210609192350130_0,2560,1440,3686400,3,1062.0,1328.0,1040.0,1192.0,40432.0
20210609192350130_0,2560,1440,3686400,0,270.0,325.0,771.0,819.0,2640.0
20210609192350130_0,2560,1440,3686400,1,1016.0,1127.0,699.0,910.0,23421.0
20210609194047609_0,1920,1080,2073600,2,1832.0,1868.0,429.0,461.0,1152.0
20210609194047609_0,1920,1080,2073600,2,1821.0,1837.0,505.0,551.0,736.0
20210609194047609_0,1920,1080,2073600,2,1837.0,1854.0,502.0,544.0,714.0
20210609194523017_0,1920,1080,2073600,2,406.0,555.0,718.0,838.0,17880.0
20210609223135593_0,2688,1520,4085760,3,2454.0,2561.0,481.0,547.0,7062.0
20210609223135593_0,2688,1520,4085760,3,2064.0,2147.0,253.0,286.0,2739.0
20210609223135593_0,2688,1520,4085760,1,1025.0,1083.0,380.0,447.0,3886.0
